WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best_of,player1,player2,RankPts_1,RankPts_2,Odds_1,Odds_2,player1_won
3,Shenzhen,Shenzhen Open,2015-01-04,International,Outdoor,Hard,1st Round,3,Wang Q.,Babos T.,573.0,587.0,1.77,1.99,0
3,Shenzhen,Shenzhen Open,2015-01-04,International,Outdoor,Hard,1st Round,3,Voegele S.,Bacsinszky T.,610.0,1048.0,3.0,1.36,0
3,Shenzhen,Shenzhen Open,2015-01-04,International,Outdoor,Hard,1st Round,3,Vekic D.,Diyas Z.,655.0,1371.0,2.61,1.47,0
3,Shenzhen,Shenzhen Open,2015-01-04,International,Outdoor,Hard,1st Round,3,Schmiedlova A.,Koukalova K.,715.0,1215.0,2.05,1.72,1
2,Brisbane,Brisbane International,2015-01-04,Premier,Outdoor,Hard,1st Round,3,Lepchenko V.,Stosur S.,1350.0,1950.0,2.9,1.39,1
2,Brisbane,Brisbane International,2015-01-04,Premier,Outdoor,Hard,1st Round,3,Suarez Navarro C.,Pironkova T.,2415.0,1276.0,1.26,3.73,1
2,Brisbane,Brisbane International,2015-01-04,Premier,Outdoor,Hard,1st Round,3,Petkovic A.,Kanepi K.,2780.0,1000.0,1.56,2.37,0
2,Brisbane,Brisbane International,2015-01-04,Premier,Outdoor,Hard,1st Round,3,Rybarikova M.,Svitolina E.,1046.0,1655.0,2.8,1.41,0
2,Brisbane,Brisbane International,2015-01-04,Premier,Outdoor,Hard,1st Round,3,Jankovic J.,Tomljanovic A.,2590.0,840.0,1.24,3.93,0
3,Shenzhen,Shenzhen Open,2015-01-04,International,Outdoor,Hard,1st Round,3,Zheng S.,Dulgheru A.,581.0,652.0,1.96,1.8,1
3,Shenzhen,Shenzhen Open,2015-01-04,International,Outdoor,Hard,1st Round,3,Vikhlyantseva N.,Friedsam A.L.,36.0,601.0,3.03,1.36,1
1,Auckland,ASB Classic,2015-01-04,International,Outdoor,Hard,1st Round,3,Rogers S.,Davis L.,722.0,950.0,2.09,1.7,0
1,Auckland,ASB Classic,2015-01-04,International,Outdoor,Hard,1st Round,3,Wickmayer Y.,Townsend T.,708.0,558.0,1.95,1.8,0
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Errani S.,Hantuchova D.,2775.0,841.0,1.46,2.63,0
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Schiavone F.,Radwanska U.,692.0,291.0,2.0,1.78,0
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Soler Espinosa S.,Stephens S.,788.0,1343.0,2.9,1.39,0
2,Brisbane,Brisbane International,2015-01-05,Premier,Outdoor,Hard,1st Round,3,Keys M.,Cibulkova D.,1520.0,2953.0,1.88,1.86,1
2,Brisbane,Brisbane International,2015-01-05,Premier,Outdoor,Hard,1st Round,3,Zhang S.,Gajdosova J.,855.0,726.0,2.26,1.61,0
2,Brisbane,Brisbane International,2015-01-05,Premier,Outdoor,Hard,1st Round,3,Riske A.,Gavrilova D.,1175.0,201.0,1.65,2.19,0
2,Brisbane,Brisbane International,2015-01-05,Premier,Outdoor,Hard,1st Round,3,Shvedova Y.,Lisicki S.,782.0,1681.0,2.48,1.52,1
2,Brisbane,Brisbane International,2015-01-05,Premier,Outdoor,Hard,1st Round,3,Mattek-Sands B.,Kudryavtseva A.,293.0,576.0,1.64,2.22,0
2,Brisbane,Brisbane International,2015-01-05,Premier,Outdoor,Hard,1st Round,3,Garcia C.,Kerber A.,1341.0,3480.0,3.95,1.23,0
2,Brisbane,Brisbane International,2015-01-05,Premier,Outdoor,Hard,1st Round,3,Brengle M.,Tsurenko L.,605.0,614.0,1.66,2.16,1
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Zahlavova Strycova B.,Scheepers C.,1720.0,693.0,1.45,2.65,1
2,Brisbane,Brisbane International,2015-01-05,Premier,Outdoor,Hard,1st Round,3,Azarenka V.,Pliskova Ka.,1187.0,1830.0,1.43,2.71,0
3,Shenzhen,Shenzhen Open,2015-01-05,International,Outdoor,Hard,1st Round,3,Zhu L.,Krunic A.,418.0,640.0,3.09,1.35,0
3,Shenzhen,Shenzhen Open,2015-01-05,International,Outdoor,Hard,1st Round,3,Smitkova T.,Govortsova O.,753.0,365.0,1.79,1.97,1
3,Shenzhen,Shenzhen Open,2015-01-05,International,Outdoor,Hard,1st Round,3,Niculescu M.,Hercog P.,1070.0,600.0,1.4,2.84,0
3,Shenzhen,Shenzhen Open,2015-01-05,International,Outdoor,Hard,1st Round,3,Peng S.,Zvonareva V.,1855.0,180.0,1.37,2.99,0
3,Shenzhen,Shenzhen Open,2015-01-05,International,Outdoor,Hard,1st Round,3,Parmentier P.,Knapp K.,681.0,985.0,3.19,1.33,0
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Nara K.,Bertens K.,1098.0,754.0,1.75,2.03,1
2,Brisbane,Brisbane International,2015-01-05,Premier,Outdoor,Hard,1st Round,3,Mchale C.,Lucic M.,1015.0,867.0,1.61,2.25,0
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Konjuh A.,Barthel M.,579.0,1193.0,1.62,2.23,1
3,Shenzhen,Shenzhen Open,2015-01-05,International,Outdoor,Hard,1st Round,3,Buyukakcay C.,Arruabarrena L.,401.0,633.0,1.75,2.02,1
3,Shenzhen,Shenzhen Open,2015-01-05,International,Outdoor,Hard,1st Round,3,Beck A.,Halep S.,915.0,6292.0,5.29,1.14,0
3,Shenzhen,Shenzhen Open,2015-01-05,International,Outdoor,Hard,1st Round,3,Torro Flor M.T.,Jovanovski B.,631.0,911.0,2.34,1.57,0
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Vinci R.,Vandeweghe C.,1107.0,1236.0,1.89,1.86,0
3,Shenzhen,Shenzhen Open,2015-01-05,International,Outdoor,Hard,1st Round,3,Duan Y.Y.,Kvitova P.,475.0,5966.0,8.29,1.06,0
3,Shenzhen,Shenzhen Open,2015-01-05,International,Outdoor,Hard,1st Round,3,Siniakova K.,Begu I.,650.0,1201.0,1.94,1.81,1
1,Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Tatishvili A.,Goerges J.,378.0,700.0,2.04,1.74,0
1,Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Mladenovic K.,Vesnina E.,760.0,816.0,2.02,1.75,0
1,Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Flipkens K.,Larsson J.,1040.0,724.0,1.78,1.98,1
1,Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Williams V.,Cepelova J.,2091.0,906.0,1.25,3.84,1
1,Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Glushko J.,4625.0,344.0,1.09,6.92,1
