Model,Accuracy,AUC
LogisticRegression,0.6490080202617138,0.7118975823377713
HistGradientBoosting,0.6458421274799493,0.7104570488673072
MLP,0.6428872942169692,0.7018666797810539
SVC,0.6416209371042634,0.6927375695298617
GradientBoosting,0.6411988180666948,0.707484573222025
RidgeClassifier,0.6407766990291263,0.7117553910198877
LightGBM,0.6382439848037147,0.7002150866413752
RandomForest,0.6359223300970874,0.6901796403771313
ExtraTrees,0.6352891515407345,0.6907550875714987
XGBoost,0.6298016040523428,0.6835354035890301
KNN,0.5989869143098354,0.628403481941079
